Filing Year,Male,Female,Unknown/Missing
2017,454,557,99
2018,441,574,133
2019,533,586,183
2020,504,555,270
2021,660,742,186
2022,470,647,116
2023,542,570,111
2024,572,606,83
2025,571,667,63
