Filing Year,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017,1,16,8,25,50,32.0,16.0
2018,1,13,12,43,69,18.8,17.4
2019,0,16,9,52,77,20.8,11.7
2020,1,19,10,52,82,23.2,12.2
2021,1,10,12,50,73,13.7,16.4
2022,1,8,5,43,57,14.0,8.8
2023,5,12,13,60,90,13.3,14.4
2024,3,9,3,58,73,12.3,4.1
2025,3,10,10,52,75,13.3,13.3
