Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,2
2017 Q2,5
2017 Q3,5
2017 Q4,1
2018 Q1,4
2018 Q3,6
2018 Q4,3
2019 Q1,4
2019 Q2,5
2019 Q3,8
2019 Q4,4
2020 Q1,8
2020 Q2,6
2020 Q3,6
2020 Q4,4
2021 Q1,10
2021 Q2,5
2021 Q3,4
2021 Q4,1
2022 Q1,2
2022 Q3,3
2022 Q4,4
2023 Q1,5
2023 Q2,3
2023 Q3,3
2023 Q4,9
2024 Q1,5
2024 Q2,3
2024 Q3,6
2024 Q4,2
2025 Q1,6
2025 Q2,5
2025 Q3,5
2025 Q4,1
2026 Q1,2
2026 Q2,1
