Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,2994,111,767,5,31,161,281
2018,2897,149,714,8,37,175,303
2019,2693,127,820,6,31,129,385
2020,3758,329,1347,6,60,163,267
2021,3825,285,1465,6,62,199,239
2022,3787,258,1578,9,59,196,233
2023,3370,308,1789,10,87,272,81
2024,3481,288,1832,18,82,96,52
2025,3663,302,1974,21,102,118,36
