Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,3250,272,828
2018,2984,330,969
2019,2882,334,975
2020,4348,445,1137
2021,4184,520,1377
2022,4473,400,1247
2023,4409,425,1083
2024,4341,357,1151
2025,4529,397,1290
