Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,3182,959,11,198
2018,3197,942,3,141
2019,3135,871,3,182
2020,4639,1213,3,75
2021,4738,1242,7,94
2022,4814,1215,2,89
2023,4793,1081,2,41
2024,4682,1140,2,25
2025,4996,1192,1,27
