Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,3250,272,828
2018,2984,330,969
2019,2883,333,975
2020,4348,445,1137
2021,4185,520,1376
2022,4473,400,1247
2023,4411,424,1082
2024,4344,356,1149
2025,4533,394,1289
