Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Missing/Unknown
2017,183,1143,1434,1537,53
2018,206,1040,1448,1552,37
2019,186,983,1435,1546,41
2020,206,1562,1914,2221,27
2021,223,1499,2013,2304,42
2022,271,1408,2050,2360,31
2023,235,1374,1938,2357,13
2024,279,1248,1883,2425,14
2025,244,1403,2006,2555,8
