Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,3005,111,758,5,31,159,281
2018,2904,149,708,8,37,174,303
2019,2698,128,813,7,29,131,385
2020,3758,329,1344,7,60,165,267
2021,3828,285,1461,6,60,202,239
2022,3791,258,1575,9,59,194,234
2023,3368,310,1789,10,87,272,81
2024,3476,289,1835,18,82,97,52
2025,3678,303,1957,22,102,118,36
