District,Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Missing/Unknown
05,2017,183,1143,1434,1537,53
05,2018,206,1040,1448,1552,37
05,2019,186,983,1435,1546,41
05,2020,206,1562,1914,2221,27
05,2021,223,1499,2013,2304,42
05,2022,271,1408,2050,2360,31
05,2023,235,1374,1938,2357,13
05,2024,279,1248,1883,2425,14
05,2025,244,1403,2006,2555,8
05,2026,109,776,1126,1297,5
05,2028,0,0,1,0,0
05,2048,0,0,1,0,0
