Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,2,32,34,5.9,94.1
2017 Q2,1,25,26,3.8,96.2
2017 Q3,3,37,40,7.5,92.5
2017 Q4,3,38,41,7.3,92.7
2018 Q1,5,28,33,15.2,84.8
2018 Q2,0,28,28,0.0,100.0
2018 Q3,2,35,37,5.4,94.6
2018 Q4,2,38,40,5.0,95.0
2019 Q1,1,24,25,4.0,96.0
2019 Q2,1,27,28,3.6,96.4
2019 Q3,2,30,32,6.2,93.8
2019 Q4,2,29,31,6.5,93.5
2020 Q1,3,44,47,6.4,93.6
2020 Q2,2,32,34,5.9,94.1
2020 Q3,3,40,43,7.0,93.0
2020 Q4,1,25,26,3.8,96.2
2021 Q1,3,38,41,7.3,92.7
2021 Q2,4,24,28,14.3,85.7
2021 Q3,6,51,57,10.5,89.5
2021 Q4,2,32,34,5.9,94.1
2022 Q1,2,31,33,6.1,93.9
2022 Q2,2,35,37,5.4,94.6
2022 Q3,4,25,29,13.8,86.2
2022 Q4,3,28,31,9.7,90.3
2023 Q1,6,35,41,14.6,85.4
2023 Q2,4,35,39,10.3,89.7
2023 Q3,3,23,26,11.5,88.5
2023 Q4,1,34,35,2.9,97.1
2024 Q1,2,27,29,6.9,93.1
2024 Q2,3,26,29,10.3,89.7
2024 Q3,3,33,36,8.3,91.7
2024 Q4,1,36,37,2.7,97.3
2025 Q1,3,30,33,9.1,90.9
2025 Q2,1,26,27,3.7,96.3
2025 Q3,2,34,36,5.6,94.4
2025 Q4,2,37,39,5.1,94.9
2026 Q1,1,26,27,3.7,96.3
2026 Q2,7,23,30,23.3,76.7
