District,Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
05,2017 Q1,2,32,34,5.88235294,94.11764706
05,2017 Q2,1,25,26,3.84615385,96.15384615
05,2017 Q3,3,37,40,7.5,92.5
05,2017 Q4,3,38,41,7.31707317,92.68292683
05,2018 Q1,5,28,33,15.15151515,84.84848485
05,2018 Q2,0,28,28,0.0,100.0
05,2018 Q3,2,35,37,5.40540541,94.59459459
05,2018 Q4,2,38,40,5.0,95.0
05,2019 Q1,1,24,25,4.0,96.0
05,2019 Q2,1,27,28,3.57142857,96.42857143
05,2019 Q3,2,30,32,6.25,93.75
05,2019 Q4,2,29,31,6.4516129,93.5483871
05,2020 Q1,3,44,47,6.38297872,93.61702128
05,2020 Q2,2,32,34,5.88235294,94.11764706
05,2020 Q3,3,40,43,6.97674419,93.02325581
05,2020 Q4,1,25,26,3.84615385,96.15384615
05,2021 Q1,3,38,41,7.31707317,92.68292683
05,2021 Q2,4,24,28,14.28571429,85.71428571
05,2021 Q3,6,51,57,10.52631579,89.47368421
05,2021 Q4,2,32,34,5.88235294,94.11764706
05,2022 Q1,2,31,33,6.06060606,93.93939394
05,2022 Q2,2,35,37,5.40540541,94.59459459
05,2022 Q3,4,25,29,13.79310345,86.20689655
05,2022 Q4,3,28,31,9.67741935,90.32258065
05,2023 Q1,6,35,41,14.63414634,85.36585366
05,2023 Q2,4,35,39,10.25641026,89.74358974
05,2023 Q3,3,23,26,11.53846154,88.46153846
05,2023 Q4,1,34,35,2.85714286,97.14285714
05,2024 Q1,2,27,29,6.89655172,93.10344828
05,2024 Q2,3,26,29,10.34482759,89.65517241
05,2024 Q3,3,33,36,8.33333333,91.66666667
05,2024 Q4,1,36,37,2.7027027,97.2972973
05,2025 Q1,3,29,32,9.375,90.625
05,2025 Q2,1,26,27,3.7037037,96.2962963
05,2025 Q3,2,34,36,5.55555556,94.44444444
05,2025 Q4,2,37,39,5.12820513,94.87179487
05,2026 Q1,1,26,27,3.7037037,96.2962963
05,2026 Q2,7,23,30,23.33333333,76.66666667
