Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,7199,1070,8269,42,357,970,89,672,3898,6028,12.9,16.1
2018,8086,1527,9613,42,479,1054,102,720,4630,7027,15.9,15.0
2019,8023,1301,9324,32,527,904,82,604,4964,7113,14.0,12.7
2020,5616,1219,6835,14,530,730,74,454,3400,5202,17.8,14.0
2021,5625,1318,6943,21,559,855,119,379,3804,5737,19.0,14.9
2022,4994,1645,6639,18,590,958,122,385,4079,6152,24.8,15.6
2023,5540,1699,7239,11,630,937,95,298,3852,5823,23.5,16.1
2024,5888,1797,7685,27,592,1059,121,376,3796,5971,23.4,17.7
2025,5234,1741,6975,16,596,1080,74,302,3841,5909,25.0,18.3
