Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2017,1762,404,2166,1580,285,1865,51,10,61,3612,632,4244,18.7,15.3,16.4,14.9
2018,2030,505,2535,1853,402,2255,55,20,75,4008,770,4778,19.9,17.8,26.7,16.1
2019,1943,373,2316,1809,340,2149,58,13,71,4074,674,4748,16.1,15.8,18.3,14.2
2020,1516,375,1891,1385,359,1744,34,12,46,2568,582,3150,19.8,20.6,26.1,18.5
2021,1625,399,2024,1414,344,1758,33,10,43,2454,643,3097,19.7,19.6,23.3,20.8
2022,1405,519,1924,1310,405,1715,29,14,43,2146,745,2891,27.0,23.6,32.6,25.8
2023,1624,525,2149,1511,429,1940,35,7,42,2266,773,3039,24.4,22.1,16.7,25.4
2024,1636,567,2203,1898,416,2314,32,14,46,2233,839,3072,25.7,18.0,30.4,27.3
2025,1582,554,2136,1343,394,1737,30,17,47,2212,786,2998,25.9,22.7,36.2,26.2
