District,Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
02,2024,5888,1929,7817,27,592,1059,121,376,3800,5975,24.67698606,17.72384937
02,2027,0,0,0,0,1,0,0,1,1,3,,0.0
02,2021,5625,1460,7085,21,559,855,119,379,3804,5737,20.60691602,14.90325954
02,2022,4993,1800,6793,18,590,958,122,385,4078,6151,26.49786545,15.5747033
02,2025,5234,1849,7083,16,595,1078,74,298,3829,5890,26.10475787,18.30220713
02,2019,8023,1458,9481,32,527,904,82,604,4964,7113,15.37812467,12.70912414
02,2034,0,0,0,0,0,0,0,0,1,1,,0.0
02,2020,5616,1381,6997,14,530,730,74,454,3400,5202,19.73703016,14.03306421
02,2023,5539,1848,7387,11,630,937,95,298,3853,5824,25.01692162,16.0885989
02,2017,7199,1401,8600,42,357,970,89,672,3898,6028,16.29069767,16.09157266
02,2049,0,0,0,0,0,0,0,0,1,1,,0.0
02,2026,2341,813,3154,7,249,505,34,140,1536,2471,25.77679138,20.43707001
02,2018,8086,1779,9865,42,479,1054,102,720,4630,7027,18.0334516,14.99928846
