Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,7199,1070,8269,12.9
2018,8086,1527,9613,15.9
2019,8023,1301,9324,14.0
2020,5616,1219,6835,17.8
2021,5625,1318,6943,19.0
2022,4994,1645,6639,24.8
2023,5540,1699,7239,23.5
2024,5888,1797,7685,23.4
2025,5234,1741,6975,25.0
