Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,1772,0,0,1772,0.0,427,555,982,43.5
2017 Q2,1813,0,0,1813,0.0,443,563,1006,44.0
2017 Q3,1918,0,0,1918,0.0,452,534,986,45.8
2017 Q4,1693,3,0,1696,0.2,449,564,1013,44.3
2018 Q1,1823,0,0,1823,0.0,552,576,1128,48.9
2018 Q2,2086,0,0,2086,0.0,578,596,1174,49.2
2018 Q3,2161,0,0,2161,0.0,608,661,1269,47.9
2018 Q4,2016,0,0,2016,0.0,572,584,1156,49.5
2019 Q1,1978,1,0,1979,0.1,574,725,1299,44.2
2019 Q2,2035,0,0,2035,0.0,663,706,1369,48.4
2019 Q3,2088,0,0,2088,0.0,679,603,1282,53.0
2019 Q4,1921,0,0,1921,0.0,580,509,1089,53.3
2020 Q1,1641,1,0,1642,0.1,610,645,1255,48.6
2020 Q2,1193,0,0,1193,0.0,325,337,662,49.1
2020 Q3,1412,0,0,1412,0.0,328,391,719,45.6
2020 Q4,1369,0,0,1369,0.0,358,472,830,43.1
2021 Q1,1491,1,0,1492,0.1,385,496,881,43.7
2021 Q2,1456,0,0,1456,0.0,370,524,894,41.4
2021 Q3,1413,0,0,1413,0.0,465,621,1086,42.8
2021 Q4,1264,0,0,1264,0.0,390,668,1058,36.9
2022 Q1,1267,0,0,1267,0.0,390,661,1051,37.1
2022 Q2,1221,0,0,1221,0.0,384,717,1101,34.9
2022 Q3,1288,0,0,1288,0.0,403,698,1101,36.6
2022 Q4,1218,0,0,1218,0.0,344,598,942,36.5
2023 Q1,1367,0,0,1367,0.0,345,718,1063,32.5
2023 Q2,1345,0,0,1345,0.0,329,670,999,32.9
2023 Q3,1516,0,0,1516,0.0,319,655,974,32.8
2023 Q4,1311,0,0,1311,0.0,305,605,910,33.5
2024 Q1,1463,0,0,1463,0.0,301,609,910,33.1
2024 Q2,1450,1,0,1451,0.1,361,686,1047,34.5
2024 Q3,1529,0,0,1529,0.0,332,659,991,33.5
2024 Q4,1444,1,0,1445,0.1,316,650,966,32.7
2025 Q1,1301,0,0,1301,0.0,336,678,1014,33.1
2025 Q2,1409,4,0,1413,0.3,423,643,1066,39.7
2025 Q3,1388,2,0,1390,0.1,344,617,961,35.8
2025 Q4,1130,0,0,1130,0.0,320,544,864,37.0
2026 Q1,1156,2,0,1158,0.2,337,554,891,37.8
2026 Q2,1155,0,0,1155,0.0,277,459,736,37.6
