District,Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
02,2017,7199,1401,8600,16.29069767
02,2018,8086,1779,9865,18.0334516
02,2019,8023,1458,9481,15.37812467
02,2020,5616,1381,6997,19.73703016
02,2021,5625,1460,7085,20.60691602
02,2022,4993,1800,6793,26.49786545
02,2023,5539,1848,7387,25.01692162
02,2024,5888,1929,7817,24.67698606
02,2025,5234,1849,7083,26.10475787
