Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,7199,1401,8600,42,357,970,89,672,3898,6028,16.3,16.1
2018,8086,1779,9865,42,479,1054,102,720,4630,7027,18.0,15.0
2019,8023,1458,9481,32,527,904,82,604,4964,7113,15.4,12.7
2020,5616,1381,6997,14,530,730,74,454,3400,5202,19.7,14.0
2021,5625,1460,7085,21,559,856,119,380,3806,5741,20.6,14.9
2022,4994,1800,6794,18,591,958,122,385,4083,6157,26.5,15.6
2023,5540,1848,7388,11,631,937,95,298,3854,5826,25.0,16.1
2024,5888,1928,7816,27,592,1060,122,378,3798,5977,24.7,17.7
2025,5234,1845,7079,16,597,1093,74,313,3900,5993,26.1,18.2
