Year,Prosecutors,"Clerical, Paralegal, and Admin.",Victim/Witness Staff,Investigators/Officers,Other,Total Staff,"Percent of staff in clerical, paralegal, or general support positions"
2017,37,24,9,10,5,85,28.2
2018,37,24,9,10,5,85,28.2
2019,39,20,12,10,6,87,23.0
2020,40,23,13,8,6,90,25.6
2021,41,22,13,9,6,91,24.2
2022,41,23,14,9,9,96,24.0
2023,42,25,14,9,10,100,25.0
2024,42,23,14,9,11,99,23.2
