Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,52,35,87,59.77011494,40.22988506
2021,61,44,105,58.0952381,41.9047619
2022,44,32,77,57.14285714,41.55844156
2023,73,50,123,59.3495935,40.6504065
2024,67,50,118,56.77966102,42.37288136
2025,53,52,105,50.47619048,49.52380952
