District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
06,2017,3,12,31,35,81,14.81481481,38.27160494
06,2018,2,15,32,42,91,16.48351648,35.16483516
06,2019,3,11,21,30,65,16.92307692,32.30769231
06,2020,4,9,24,38,75,12.0,32.0
06,2021,2,12,30,43,87,13.79310345,34.48275862
06,2022,2,10,18,34,64,15.625,28.125
06,2023,0,13,45,53,111,11.71171171,40.54054054
06,2024,2,10,46,43,101,9.9009901,45.54455446
06,2025,7,13,34,34,88,14.77272727,38.63636364
06,2026,2,7,12,28,49,14.28571429,24.48979592
