District,Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
06,2020,78,387,465,107,476,583,16.77419355,18.35334477
06,2021,99,455,554,115,638,753,17.8700361,15.27224436
06,2022,89,373,462,133,637,770,19.26406926,17.27272727
06,2023,106,449,555,134,603,737,19.0990991,18.18181818
06,2024,110,472,582,136,608,744,18.90034364,18.27956989
06,2025,137,401,538,177,583,760,25.46468401,23.28947368
