Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,78,387,465,107,476,583,16.8,18.4
2021,99,455,554,115,638,753,17.9,15.3
2022,89,373,462,133,637,770,19.3,17.3
2023,106,449,555,134,603,737,19.1,18.2
2024,110,472,582,136,608,744,18.9,18.3
2025,137,401,538,177,583,760,25.5,23.3
