Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,1,1,5,10,17,5.9,29.4
2017 Q2,1,6,8,9,24,25.0,33.3
2017 Q3,0,1,10,6,17,5.9,58.8
2017 Q4,1,4,8,10,23,17.4,34.8
2018 Q1,0,4,10,14,28,14.3,35.7
2018 Q2,1,5,6,9,21,23.8,28.6
2018 Q3,1,2,8,13,24,8.3,33.3
2018 Q4,0,4,8,6,18,22.2,44.4
2019 Q1,1,6,6,10,23,26.1,26.1
2019 Q2,0,2,6,8,16,12.5,37.5
2019 Q3,2,1,4,6,13,7.7,30.8
2019 Q4,0,2,5,6,13,15.4,38.5
2020 Q1,0,0,4,13,17,0.0,23.5
2020 Q2,0,3,10,5,18,16.7,55.6
2020 Q3,2,3,5,14,24,12.5,20.8
2020 Q4,2,3,5,6,16,18.8,31.2
2021 Q1,0,2,10,7,19,10.5,52.6
2021 Q2,0,3,5,16,24,12.5,20.8
2021 Q3,1,3,8,6,18,16.7,44.4
2021 Q4,1,4,7,14,26,15.4,26.9
2022 Q1,0,2,5,8,15,13.3,33.3
2022 Q2,0,2,6,8,16,12.5,37.5
2022 Q3,1,4,4,11,20,20.0,20.0
2022 Q4,1,2,3,7,13,15.4,23.1
2023 Q1,0,2,11,15,28,7.1,39.3
2023 Q2,0,1,10,12,23,4.3,43.5
2023 Q3,0,4,12,17,33,12.1,36.4
2023 Q4,0,6,12,9,27,22.2,44.4
2024 Q1,1,4,14,17,36,11.1,38.9
2024 Q2,0,1,8,7,16,6.2,50.0
2024 Q3,0,2,12,6,20,10.0,60.0
2024 Q4,1,3,12,13,29,10.3,41.4
2025 Q1,1,6,13,8,28,21.4,46.4
2025 Q2,2,0,10,11,23,0.0,43.5
2025 Q3,3,1,8,6,18,5.6,44.4
2025 Q4,1,6,3,9,19,31.6,15.8
2026 Q1,1,6,8,16,31,19.4,25.8
2026 Q2,1,1,4,12,18,5.6,22.2
