Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,9,28,37,15,80,95,24.32432432,15.78947368
2021,5,38,43,22,102,124,11.62790698,17.74193548
2022,12,30,42,18,76,94,28.57142857,19.14893617
2023,9,33,42,28,109,137,21.42857143,20.4379562
2024,11,35,46,33,90,123,23.91304348,26.82926829
2025,6,22,28,30,89,119,21.42857143,25.21008403
