Filing Year,Male,Female,Unknown/Missing
2017,695,783,178
2018,626,754,184
2019,645,720,268
2020,672,672,267
2021,851,887,279
2022,666,702,235
2023,716,772,393
2024,695,656,460
2025,580,880,882
