Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,52,35,87,59.8,40.2
2021,61,44,105,58.1,41.9
2022,44,32,77,57.1,41.6
2023,73,50,123,59.3,40.7
2024,67,50,118,56.8,42.4
2025,53,52,105,50.5,49.5
