District,Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Unknown/Missing
06,2017,89,210,373,701,283
06,2018,91,184,288,705,296
06,2019,100,188,318,754,273
06,2020,98,182,314,759,258
06,2021,89,203,396,867,462
06,2022,99,206,291,768,239
06,2023,125,217,311,794,434
06,2024,142,178,302,801,388
06,2025,145,232,394,828,743
