District,Filing Quarter,Number of violent cases filed involving a child victim
06,2017 Q1,4
06,2017 Q2,5
06,2017 Q3,1
06,2017 Q4,4
06,2018 Q1,1
06,2018 Q2,3
06,2018 Q3,4
06,2018 Q4,1
06,2019 Q1,3
06,2019 Q2,2
06,2019 Q4,2
06,2020 Q1,1
06,2020 Q2,4
06,2020 Q3,5
06,2020 Q4,1
06,2021 Q1,2
06,2021 Q2,6
06,2021 Q4,4
06,2022 Q2,2
06,2022 Q3,1
06,2022 Q4,2
06,2023 Q1,9
06,2023 Q2,3
06,2023 Q3,2
06,2023 Q4,5
06,2024 Q1,9
06,2024 Q2,1
06,2024 Q3,3
06,2024 Q4,2
06,2025 Q1,2
06,2025 Q2,2
06,2025 Q3,4
06,2025 Q4,2
06,2026 Q1,3
06,2026 Q2,4
