District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
06,2017,714,5,6,73,5,726,127
06,2018,636,8,31,62,2,663,162
06,2019,705,9,13,78,3,658,167
06,2020,663,7,18,69,6,712,136
06,2021,814,17,27,106,2,881,170
06,2022,695,7,30,115,2,560,194
06,2023,769,18,30,123,2,720,219
06,2024,712,7,36,101,3,762,190
06,2025,870,12,35,142,4,1075,204
