Disposition Quarter,Conviction,No Conviction,Total
2017 Q2,5,2,7
2017 Q3,5,1,6
2017 Q4,3,1,4
2018 Q1,2,1,3
2018 Q2,0,1,1
2018 Q3,1,2,3
2018 Q4,3,1,4
2019 Q1,1,0,1
2019 Q2,2,1,3
2019 Q3,1,0,1
2019 Q4,3,0,3
2020 Q1,4,1,5
2020 Q2,1,1,2
2020 Q3,3,0,3
2020 Q4,1,1,2
2021 Q1,2,0,2
2021 Q2,2,0,2
2021 Q3,2,3,5
2021 Q4,2,1,3
2022 Q1,0,1,1
2022 Q2,0,3,3
2022 Q3,2,3,5
2022 Q4,1,0,1
2023 Q1,1,1,2
2023 Q2,2,0,2
2023 Q3,1,0,1
2023 Q4,2,1,3
2024 Q1,1,0,1
2024 Q2,1,0,1
2024 Q3,2,0,2
2024 Q4,1,1,2
2025 Q1,3,0,3
2025 Q2,2,0,2
2025 Q3,1,1,2
2025 Q4,1,0,1
