Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,1741,68,1809,3.75898286
2021,2044,129,2173,5.93649333
2022,2015,138,2153,6.40966094
2023,2052,146,2198,6.64240218
2024,1983,124,2107,5.88514476
2025,1729,86,1815,4.73829201
