Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,2246,76,2322,9,308,143,14,101,1562,2137,3.3,6.7
2018,2516,143,2659,7,318,199,15,144,1707,2390,5.4,8.3
2019,2094,96,2190,3,305,206,32,154,1572,2272,4.4,9.1
2020,1741,68,1809,2,239,140,14,144,1094,1633,3.8,8.6
2021,2044,129,2173,10,314,156,26,213,1197,1916,5.9,8.1
2022,2015,138,2153,9,267,154,22,223,1234,1909,6.4,8.1
2023,2052,146,2198,5,268,189,32,132,1236,1862,6.6,10.2
2024,1983,124,2107,6,309,164,23,129,1288,1919,5.9,8.5
2025,1729,86,1815,3,266,158,26,107,1105,1665,4.7,9.5
