District,Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
20,2026 Q1,334,45,2,382,11.78010471,111,143,254,43.7007874
20,2025 Q3,436,49,3,488,10.04098361,105,141,246,42.68292683
20,2021 Q3,466,60,1,527,11.38519924,210,162,372,56.4516129
20,2023 Q1,451,54,3,508,10.62992126,175,145,320,54.6875
20,2019 Q1,203,11,0,214,5.14018692,268,142,410,65.36585366
20,2016 Q2,1,0,0,1,0.0,0,0,0,
20,2022 Q2,457,57,5,520,10.96153846,179,151,330,54.24242424
20,2018 Q3,691,33,1,725,4.55172414,264,149,413,63.92251816
20,2019 Q2,401,43,0,444,9.68468468,295,156,451,65.41019956
20,2020 Q4,484,33,1,518,6.37065637,149,111,260,57.30769231
20,2017 Q3,629,29,2,660,4.39393939,215,138,353,60.90651558
20,2025 Q4,374,42,3,419,10.02386635,108,145,253,42.68774704
20,2021 Q2,421,38,1,460,8.26086957,163,138,301,54.15282392
20,2018 Q1,298,13,0,311,4.18006431,232,149,381,60.89238845
20,2019 Q4,890,48,6,944,5.08474576,217,141,358,60.61452514
20,2021 Q1,467,47,0,514,9.14396887,152,132,284,53.52112676
20,2019 Q3,632,42,3,677,6.20384047,235,149,384,61.19791667
20,2018 Q2,524,28,0,552,5.07246377,305,163,468,65.17094017
20,2020 Q3,438,44,1,483,9.10973085,155,131,286,54.1958042
20,2024 Q1,484,52,2,538,9.66542751,192,169,361,53.18559557
20,2020 Q1,412,30,2,444,6.75675676,259,149,408,63.48039216
20,2023 Q4,425,57,6,490,11.63265306,151,169,320,47.1875
20,2018 Q4,817,63,1,881,7.15096481,299,161,460,65.0
20,2017 Q4,687,49,3,739,6.63058187,202,181,383,52.74151436
20,2024 Q3,436,47,4,487,9.65092402,172,154,326,52.7607362
20,2024 Q2,407,49,0,456,10.74561404,180,162,342,52.63157895
20,2025 Q1,361,43,1,405,10.61728395,152,175,327,46.48318043
20,2017 Q2,396,23,1,420,5.47619048,258,187,445,57.97752809
20,2026 Q3,10,5,0,15,33.33333333,0,1,1,0.0
20,2017 Q1,200,8,1,209,3.8277512,241,154,395,61.01265823
20,2022 Q3,487,81,7,575,14.08695652,150,138,288,52.08333333
20,2023 Q2,463,54,6,524,10.30534351,153,160,313,48.88178914
20,2020 Q2,353,22,0,375,5.86666667,75,78,153,49.01960784
20,2023 Q3,467,58,4,530,10.94339623,153,159,312,49.03846154
20,2022 Q1,364,78,2,444,17.56756757,177,131,308,57.46753247
20,2024 Q4,426,71,3,502,14.14342629,131,149,280,46.78571429
20,2022 Q4,420,53,3,476,11.13445378,166,162,328,50.6097561
20,2026 Q2,371,57,6,434,13.13364055,87,113,200,43.5
20,2021 Q4,471,70,2,543,12.89134438,155,111,266,58.27067669
20,2025 Q2,374,41,2,417,9.83213429,121,179,300,40.33333333
20,2026 Q4,0,0,0,0,,0,1,1,0.0
