Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2016 Q2,1,0,0,1,0.0,0,0,0,
2017 Q1,200,8,1,209,3.8,241,154,395,61.0
2017 Q2,396,23,1,420,5.5,258,187,445,58.0
2017 Q3,629,29,2,660,4.4,215,138,353,60.9
2017 Q4,687,49,3,739,6.6,202,181,383,52.7
2018 Q1,298,13,0,311,4.2,232,149,381,60.9
2018 Q2,524,28,0,552,5.1,305,163,468,65.2
2018 Q3,691,33,1,725,4.6,264,149,413,63.9
2018 Q4,817,63,1,881,7.2,299,161,460,65.0
2019 Q1,203,11,0,214,5.1,268,142,410,65.4
2019 Q2,401,43,0,444,9.7,295,156,451,65.4
2019 Q3,632,42,3,677,6.2,235,149,384,61.2
2019 Q4,890,48,6,944,5.1,217,141,358,60.6
2020 Q1,412,30,2,444,6.8,259,149,408,63.5
2020 Q2,353,22,0,375,5.9,75,78,153,49.0
2020 Q3,438,44,1,483,9.1,155,131,286,54.2
2020 Q4,484,33,1,518,6.4,149,111,260,57.3
2021 Q1,467,47,0,514,9.1,152,132,284,53.5
2021 Q2,421,38,1,460,8.3,163,138,301,54.2
2021 Q3,466,60,1,527,11.4,210,162,372,56.5
2021 Q4,471,70,2,543,12.9,155,111,266,58.3
2022 Q1,364,78,2,444,17.6,177,131,308,57.5
2022 Q2,457,57,5,520,11.0,179,151,330,54.2
2022 Q3,487,81,7,575,14.1,150,138,288,52.1
2022 Q4,420,53,3,476,11.1,166,162,328,50.6
2023 Q1,451,54,3,508,10.6,175,145,320,54.7
2023 Q2,463,54,6,524,10.3,153,160,313,48.9
2023 Q3,467,58,4,530,10.9,153,159,312,49.0
2023 Q4,425,57,6,490,11.6,151,169,320,47.2
2024 Q1,484,52,2,538,9.7,192,169,361,53.2
2024 Q2,407,49,0,456,10.7,180,162,342,52.6
2024 Q3,436,47,4,487,9.7,172,154,326,52.8
2024 Q4,426,71,3,502,14.1,131,149,280,46.8
2025 Q1,361,43,1,405,10.6,152,175,327,46.5
2025 Q2,374,41,2,417,9.8,121,179,300,40.3
2025 Q3,436,49,3,488,10.0,105,141,246,42.7
2025 Q4,374,42,3,419,10.0,109,146,255,42.7
2026 Q1,334,45,2,382,11.8,112,145,257,43.6
2026 Q2,371,57,6,434,13.1,90,115,205,43.9
