Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2017,135,2,137,495,14,509,16,0,16,1566,58,1624,1.5,2.8,0.0,3.6
2018,175,17,192,538,27,565,16,2,18,1744,95,1839,8.9,4.8,11.1,5.2
2019,144,13,157,432,23,455,15,0,15,1488,60,1548,8.3,5.1,0.0,3.9
2020,114,3,117,410,17,427,16,0,16,1180,46,1226,2.6,4.0,0.0,3.8
2021,137,2,139,538,33,571,15,1,16,1335,89,1424,1.4,5.8,6.2,6.2
2022,160,12,172,537,39,576,9,0,9,1276,84,1360,7.0,6.8,0.0,6.2
2023,141,15,156,579,56,635,5,0,5,1295,70,1365,9.6,8.8,0.0,5.1
2024,152,8,160,636,40,676,11,2,13,1157,68,1225,5.0,5.9,15.4,5.6
2025,139,6,145,532,25,557,11,0,11,1022,49,1071,4.1,4.5,0.0,4.6
