Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,2246,71,2317,3.1
2018,2516,127,2643,4.8
2019,2094,89,2183,4.1
2020,1741,58,1799,3.2
2021,2044,113,2157,5.2
2022,2015,91,2106,4.3
2023,2052,96,2148,4.5
2024,1983,90,2073,4.3
2025,1729,56,1785,3.1
