Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,279,20,0,299,6.7,94,52,146,64.4
2017 Q2,223,23,0,246,9.3,78,48,126,61.9
2017 Q3,250,19,0,269,7.1,69,46,115,60.0
2017 Q4,196,12,0,208,5.8,70,74,144,48.6
2018 Q1,182,17,0,199,8.5,77,72,149,51.7
2018 Q2,238,15,2,255,5.9,79,73,152,52.0
2018 Q3,211,14,0,225,6.2,85,64,149,57.0
2018 Q4,255,19,4,278,6.8,83,66,149,55.7
2019 Q1,219,7,2,228,3.1,61,95,156,39.1
2019 Q2,236,10,1,247,4.0,78,74,152,51.3
2019 Q3,250,9,0,259,3.5,87,76,163,53.4
2019 Q4,204,10,0,214,4.7,72,71,143,50.3
2020 Q1,262,15,4,281,5.3,73,77,150,48.7
2020 Q2,245,13,0,258,5.0,56,53,109,51.4
2020 Q3,235,20,3,258,7.8,84,64,148,56.8
2020 Q4,185,10,3,198,5.1,62,60,122,50.8
2021 Q1,213,13,1,227,5.7,63,65,128,49.2
2021 Q2,202,16,0,218,7.3,51,85,136,37.5
2021 Q3,233,14,0,247,5.7,48,68,116,41.4
2021 Q4,200,17,0,217,7.8,49,70,119,41.2
2022 Q1,172,16,0,188,8.5,54,85,139,38.8
2022 Q2,168,9,0,177,5.1,50,78,128,39.1
2022 Q3,207,9,0,216,4.2,66,56,122,54.1
2022 Q4,158,18,2,179,10.1,49,53,102,48.0
2023 Q1,152,17,1,170,10.0,59,33,92,64.1
2023 Q2,139,13,1,153,8.5,56,54,110,50.9
2023 Q3,185,12,0,197,6.1,42,47,89,47.2
2023 Q4,138,11,0,149,7.4,32,51,83,38.6
2024 Q1,145,20,0,165,12.1,40,49,89,44.9
2024 Q2,158,17,0,175,9.7,41,45,86,47.7
2024 Q3,188,9,1,198,4.5,38,52,90,42.2
2024 Q4,170,12,0,182,6.6,71,38,109,65.1
2025 Q1,146,13,0,159,8.2,43,43,86,50.0
2025 Q2,160,17,0,177,9.6,48,38,86,55.8
2025 Q3,174,21,1,196,10.7,35,47,82,42.7
2025 Q4,123,22,0,145,15.2,39,43,82,47.6
2026 Q1,162,17,2,181,9.4,41,47,88,46.6
2026 Q2,125,14,1,140,10.0,33,48,81,40.7
