Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,1022,474,1496,3,138,143,10,73,521,888,31.7,16.1
2018,957,564,1521,3,123,96,10,56,589,877,37.1,10.9
2019,948,426,1374,5,124,99,7,99,608,942,31.0,10.5
2020,995,317,1312,2,100,105,6,78,523,814,24.2,12.9
2021,909,286,1195,5,113,140,8,73,491,830,23.9,16.9
2022,760,249,1009,7,120,156,13,67,478,841,24.7,18.5
2023,669,208,877,4,90,150,14,55,360,673,23.7,22.3
2024,720,219,939,6,86,137,8,71,368,676,23.3,20.3
2025,677,149,826,3,110,98,15,42,319,587,18.0,16.7
