District,Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
11,2024,721,218,939,6,86,137,8,71,368,676,23.21618743,20.26627219
11,2021,909,286,1195,5,113,140,8,73,491,830,23.93305439,16.86746988
11,2022,760,249,1009,7,120,156,13,67,478,841,24.67789891,18.54934602
11,2025,677,117,794,3,110,98,15,42,319,587,14.73551637,16.69505963
11,2019,948,426,1374,5,124,99,7,99,608,942,31.00436681,10.50955414
11,2020,995,316,1311,2,100,105,6,78,523,814,24.1037376,12.8992629
11,2023,669,208,877,4,90,150,14,55,360,673,23.71721779,22.28826152
11,2017,1022,474,1496,3,138,143,10,73,521,888,31.68449198,16.1036036
11,2026,322,80,402,1,48,43,15,28,149,284,19.90049751,15.14084507
11,2018,957,564,1521,3,123,96,10,56,589,877,37.08086785,10.94640821
