Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,1022,474,1496,31.7
2018,957,564,1521,37.1
2019,948,426,1374,31.0
2020,995,317,1312,24.2
2021,909,286,1195,23.9
2022,760,250,1010,24.8
2023,669,209,878,23.8
2024,720,219,939,23.3
2025,677,148,825,17.9
