Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,1022,155,1177,13.2
2018,957,94,1051,8.9
2019,948,96,1044,9.2
2020,995,58,1053,5.5
2021,909,42,951,4.4
2022,760,34,794,4.3
2023,669,57,726,7.9
2024,720,39,759,5.1
2025,677,27,704,3.8
