District,Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
11,2026 Q1,162,17,2,181,9.39226519,41,45,86,47.6744186
11,2025 Q3,174,21,1,196,10.71428571,35,47,82,42.68292683
11,2021 Q3,233,14,0,247,5.66801619,48,68,116,41.37931034
11,2023 Q1,152,17,1,170,10.0,59,33,92,64.13043478
11,2019 Q1,219,7,2,228,3.07017544,61,95,156,39.1025641
11,2022 Q2,168,9,0,177,5.08474576,50,78,128,39.0625
11,2018 Q3,211,14,0,225,6.22222222,85,64,149,57.04697987
11,2019 Q2,236,10,1,247,4.048583,78,74,152,51.31578947
11,2020 Q4,185,10,3,198,5.05050505,62,60,122,50.81967213
11,2017 Q3,250,19,0,269,7.06319703,69,46,115,60.0
11,2025 Q4,123,22,0,145,15.17241379,39,43,82,47.56097561
11,2021 Q2,202,16,0,218,7.33944954,51,85,136,37.5
11,2018 Q1,182,17,0,199,8.54271357,77,72,149,51.67785235
11,2019 Q4,204,10,0,214,4.6728972,72,71,143,50.34965035
11,2021 Q1,213,13,1,227,5.72687225,63,65,128,49.21875
11,2019 Q3,250,9,0,259,3.47490347,87,76,163,53.37423313
11,2018 Q2,238,15,2,255,5.88235294,79,73,152,51.97368421
11,2020 Q3,235,20,3,258,7.75193798,84,64,148,56.75675676
11,2024 Q1,145,20,0,165,12.12121212,40,49,89,44.94382022
11,2020 Q1,262,15,4,281,5.33807829,73,77,150,48.66666667
11,2023 Q4,138,11,0,149,7.38255034,32,51,83,38.55421687
11,2018 Q4,255,19,4,278,6.83453237,83,66,149,55.70469799
11,2017 Q4,196,12,0,208,5.76923077,70,74,144,48.61111111
11,2024 Q3,188,9,1,198,4.54545455,38,52,90,42.22222222
11,2024 Q2,159,17,0,176,9.65909091,41,45,86,47.6744186
11,2025 Q1,146,13,0,159,8.17610063,43,43,86,50.0
11,2017 Q2,223,23,0,246,9.3495935,78,48,126,61.9047619
11,2026 Q3,2,0,0,2,0.0,1,0,1,100.0
11,2017 Q1,279,20,0,299,6.68896321,94,52,146,64.38356164
11,2022 Q3,207,9,0,216,4.16666667,66,56,122,54.09836066
11,2023 Q2,139,13,1,153,8.49673203,56,54,110,50.90909091
11,2020 Q2,245,13,0,258,5.03875969,56,53,109,51.37614679
11,2023 Q3,185,12,0,197,6.09137056,42,47,89,47.19101124
11,2022 Q1,172,16,0,188,8.5106383,54,85,139,38.84892086
11,2024 Q4,170,12,0,182,6.59340659,71,38,109,65.13761468
11,2022 Q4,158,18,2,179,10.05586592,49,53,102,48.03921569
11,2026 Q2,125,13,1,139,9.35251799,33,45,78,42.30769231
11,2025 Q2,160,17,0,177,9.60451977,48,38,86,55.81395349
11,2021 Q4,200,17,0,217,7.83410138,49,70,119,41.17647059
