Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2020,55,19,74,116,40,156,7,5,12,764,202,966,25.7,25.6,41.7,20.9
2021,53,9,62,95,24,119,2,2,4,716,214,930,14.5,20.2,50.0,23.0
2022,42,10,52,97,24,121,0,1,1,564,171,735,19.2,19.8,100.0,23.3
2023,34,15,49,80,20,100,0,1,1,499,146,645,30.6,20.0,100.0,22.6
2024,23,18,41,85,24,109,1,0,1,530,139,669,43.9,22.0,0.0,20.8
2025,20,14,34,75,33,108,1,2,3,507,73,580,41.2,30.6,66.7,12.6
