Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,114,87,202,56.43564356,43.06930693
2021,110,85,195,56.41025641,43.58974359
2022,108,75,185,58.37837838,40.54054054
2023,157,67,224,70.08928571,29.91071429
2024,186,79,266,69.92481203,29.69924812
2025,156,74,232,67.24137931,31.89655172
