Filing Year,Male,Female,Unknown/Missing
2017,1226,1440,652
2018,1372,1672,723
2019,1463,1628,596
2020,1752,1731,639
2021,1706,1891,1326
2022,1769,1850,821
2023,1764,2112,882
2024,1905,2041,761
2025,1983,2097,993
