Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,246,626,872,21,47,68,28.2,30.9
2021,363,834,1197,35,73,108,30.3,32.4
2022,326,731,1057,28,76,104,30.8,26.9
2023,368,722,1090,25,62,87,33.8,28.7
2024,358,771,1129,25,69,94,31.7,26.6
2025,441,922,1363,39,82,121,32.4,32.2
