Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,95,528,623,343,1224,1567,15.2,21.9
2021,199,785,984,464,1528,1992,20.2,23.3
2022,197,902,1099,455,1434,1889,17.9,24.1
2023,220,860,1080,464,1431,1895,20.4,24.5
2024,211,806,1017,527,1522,2049,20.7,25.7
2025,256,856,1112,535,1834,2369,23.0,22.6
