Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,95,528,623,343,1223,1566,15.24879615,21.90293742
2021,198,781,979,464,1528,1992,20.2247191,23.29317269
2022,197,902,1099,455,1434,1889,17.92538672,24.08681842
2023,220,860,1080,464,1431,1895,20.37037037,24.48548813
2024,211,807,1018,527,1519,2046,20.72691552,25.75757576
2025,255,851,1106,531,1825,2356,23.05605787,22.53820034
