District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
23,2017,9,146,13,9,187,78.07486631,6.95187166
23,2018,15,135,15,6,186,72.58064516,8.06451613
23,2019,16,156,14,6,204,76.47058824,6.8627451
23,2020,12,163,11,2,200,81.5,5.5
23,2021,5,156,18,5,195,80.0,9.23076923
23,2022,11,141,8,6,182,77.47252747,4.3956044
23,2023,16,158,19,11,217,72.81105991,8.75576037
23,2024,20,183,8,9,245,74.69387755,3.26530612
23,2025,9,173,16,4,214,80.8411215,7.47663551
23,2026,8,103,7,1,124,83.06451613,5.64516129
