District,Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
23,2020,246,626,872,21,47,68,28.21100917,30.88235294
23,2021,363,834,1197,35,73,108,30.32581454,32.40740741
23,2022,326,731,1057,28,76,104,30.84200568,26.92307692
23,2023,368,721,1089,25,62,87,33.79247016,28.73563218
23,2024,358,771,1129,25,70,95,31.70947741,26.31578947
23,2025,440,919,1359,37,81,118,32.37674761,31.3559322
