District,Filing Quarter,Number of violent cases filed involving a child victim
23,2017 Q1,13
23,2017 Q2,11
23,2017 Q3,10
23,2017 Q4,15
23,2018 Q1,16
23,2018 Q2,13
23,2018 Q3,9
23,2018 Q4,6
23,2019 Q1,7
23,2019 Q2,15
23,2019 Q3,15
23,2019 Q4,14
23,2020 Q1,9
23,2020 Q2,4
23,2020 Q3,7
23,2020 Q4,13
23,2021 Q1,9
23,2021 Q2,14
23,2021 Q3,6
23,2021 Q4,9
23,2022 Q1,16
23,2022 Q2,14
23,2022 Q3,8
23,2022 Q4,11
23,2023 Q1,4
23,2023 Q2,12
23,2023 Q3,14
23,2023 Q4,11
23,2024 Q1,17
23,2024 Q2,12
23,2024 Q3,15
23,2024 Q4,20
23,2025 Q1,11
23,2025 Q2,22
23,2025 Q3,14
23,2025 Q4,12
23,2026 Q1,13
23,2026 Q2,18
