District,Filing Year,Male,Female,Unknown/Missing
23,2017,1226,1440,652
23,2018,1372,1672,723
23,2019,1463,1628,596
23,2020,1752,1731,639
23,2021,1706,1891,1326
23,2022,1769,1850,821
23,2023,1764,2112,882
23,2024,1905,2041,758
23,2025,1982,2097,993
