District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
23,2017,2002,91,11,3,31,1125,55
23,2018,2265,75,21,3,32,1351,20
23,2019,2286,121,13,2,45,1213,7
23,2020,2704,136,9,1,50,1222,0
23,2021,2676,158,16,2,66,2003,2
23,2022,2564,207,39,0,52,1549,29
23,2023,2691,218,41,3,85,1648,72
23,2024,2805,293,38,5,83,1479,1
23,2025,2828,219,47,4,101,1873,0
