Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,1,33,6,5,48,68.8,12.5
2017 Q2,3,35,4,0,43,81.4,9.3
2017 Q3,4,28,1,3,38,73.7,2.6
2017 Q4,1,50,2,1,58,86.2,3.4
2018 Q1,3,42,3,2,59,71.2,5.1
2018 Q2,5,36,4,1,46,78.3,8.7
2018 Q3,5,26,4,1,39,66.7,10.3
2018 Q4,2,31,4,2,42,73.8,9.5
2019 Q1,5,37,3,3,48,77.1,6.2
2019 Q2,4,35,2,0,45,77.8,4.4
2019 Q3,5,43,6,1,58,74.1,10.3
2019 Q4,2,41,3,2,53,77.4,5.7
2020 Q1,1,36,5,1,44,81.8,11.4
2020 Q2,4,30,0,1,37,81.1,0.0
2020 Q3,4,42,3,0,53,79.2,5.7
2020 Q4,3,55,3,0,66,83.3,4.5
2021 Q1,0,28,5,2,36,77.8,13.9
2021 Q2,1,32,4,1,40,80.0,10.0
2021 Q3,0,45,7,0,58,77.6,12.1
2021 Q4,4,51,2,2,61,83.6,3.3
2022 Q1,2,51,4,0,62,82.3,6.5
2022 Q2,4,34,2,1,44,77.3,4.5
2022 Q3,2,32,2,3,44,72.7,4.5
2022 Q4,3,24,0,2,32,75.0,0.0
2023 Q1,1,42,3,2,50,84.0,6.0
2023 Q2,6,36,2,2,52,69.2,3.8
2023 Q3,2,42,4,2,53,79.2,7.5
2023 Q4,7,38,10,5,62,61.3,16.1
2024 Q1,6,48,0,2,64,75.0,0.0
2024 Q2,4,38,4,3,49,77.6,8.2
2024 Q3,2,47,2,4,60,78.3,3.3
2024 Q4,8,50,2,0,72,69.4,2.8
2025 Q1,1,39,2,2,44,88.6,4.5
2025 Q2,3,56,6,0,71,78.9,8.5
2025 Q3,3,38,3,0,48,79.2,6.2
2025 Q4,2,41,5,2,52,78.8,9.6
2026 Q1,2,48,2,0,55,87.3,3.6
2026 Q2,6,55,5,0,68,80.9,7.4
