Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,114,87,202,56.4,43.1
2021,110,85,195,56.4,43.6
2022,108,75,185,58.4,40.5
2023,157,67,224,70.1,29.9
2024,185,80,266,69.5,30.1
2025,158,73,233,67.8,31.3
