Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,75,482,557,12,45,57,13.5,21.1
2021,114,605,719,10,44,54,15.9,18.5
2022,155,640,795,14,57,71,19.5,19.7
2023,160,660,820,5,78,83,19.5,6.0
2024,221,693,914,15,72,87,24.2,17.2
2025,218,957,1175,10,64,74,18.6,13.5
