Disposition Year,Conviction,No Conviction,Total
2017,25,16,41
2018,24,13,37
2019,22,13,35
2020,22,10,32
2021,22,12,34
2022,23,7,30
2023,34,11,45
2024,19,7,26
2025,43,8,51
