District,Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Unknown/Missing
23,2017,373,388,559,1382,616
23,2018,491,415,603,1526,732
23,2019,434,474,626,1521,632
23,2020,323,475,765,1790,769
23,2021,348,556,937,2072,1010
23,2022,441,469,865,1827,838
23,2023,489,476,856,2095,842
23,2024,530,528,825,2078,743
23,2025,560,622,912,2220,758
