Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,369,8,377,2.1
2018,418,1,419,0.2
2019,394,17,411,4.1
2020,359,7,366,1.9
2021,385,10,395,2.5
2022,320,9,329,2.7
2023,323,6,329,1.8
2024,260,1,261,0.4
2025,231,1,232,0.4
