Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,369,62,431,14.38515081
2018,418,83,501,16.56686627
2019,394,82,476,17.22689076
2020,359,93,452,20.57522124
2021,385,51,436,11.69724771
2022,320,25,345,7.24637681
2023,323,9,332,2.71084337
2024,260,3,263,1.14068441
2025,231,5,236,2.11864407
