Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,359,93,452,20.6
2021,385,51,436,11.7
2022,320,25,345,7.2
2023,323,9,332,2.7
2024,260,3,263,1.1
2025,231,5,236,2.1
