District,Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
22,2017,369,62,431,0,34,56,25,33,154,302,14.38515081,18.54304636
22,2018,418,83,501,1,21,24,29,16,72,163,16.56686627,14.72392638
22,2019,394,82,476,1,43,31,43,35,130,283,17.22689076,10.9540636
22,2020,359,93,452,1,36,28,18,21,88,192,20.57522124,14.58333333
22,2021,385,51,436,2,24,29,17,31,121,224,11.69724771,12.94642857
22,2022,320,25,345,0,44,41,21,42,112,260,7.24637681,15.76923077
22,2023,323,9,332,1,33,32,12,38,113,229,2.71084337,13.97379913
22,2024,260,3,263,1,46,53,17,34,124,275,1.14068441,19.27272727
22,2025,231,5,236,1,28,30,7,23,125,214,2.11864407,14.01869159
22,2026,101,2,103,0,7,5,2,3,34,51,1.94174757,9.80392157
22,2031,0,0,0,0,0,0,1,0,0,1,,0.0
